País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"Afganistán	";El demonio Div;El hada Peri;El espíritu del pozo Barahoot;El necrófago Ghul;El genio del fuego Ifrit;El Oro Perdido de Bactria;Los colosos olvidados de Bamiyán;El secreto del Minarete de Jam;El botín de guerra de Mir Zakah;La fortaleza inexpugnable de Herat;¿Qué animal montan mucho en Afganistán?; ¿Cuál es su capital?; ¿Qué montaña famosa pasa cerca?; ¿Qué idioma se habla?; ¿Qué fruta seca es típica?;Camello; Kabul; Hindu Kush; Pastún; Uvas pasas;Elefante; Roma; Andes; Español; Manzanas;Reno; Madrid; Alpes; Alemán; Plátanos;Allí hacen alfombras con dibujos como cuentos; Su capital se llama Kabul; Tiene montañas muy altas llamadas Hindu Kush; En Bamiyán había unas estatuas gigantes de Buda; Su pico más alto se llama Noshaq;No has podido salir del país porque te has quedado atrapado en un torneo de buzkashi y la cabra es tu maleta.; No has podido salir del país porque tu cometa se ha enredado con la de un campeón local y el duelo por el honor todavía no ha terminado.; No has podido salir del país porque los talibanes han decidido que tu barba no es lo suficientemente hipster.; No has podido salir del país porque estás esperando a que madure la cosecha de granadas para hacer zumo para el viaje.; No has podido salir del país porque el control de pasaportes está cerrado por una lectura de poesía sufí.
"Albania	";El demonio Dreq;El demonio de la enfermedad Ljubi;La serpiente dragón Bolla;El demonio de la miseria Kukudh;La bruja vampira Shtriga;El yelmo del héroe Skanderbeg;El enigma del tesoro de Vrap;Los códices púrpuras de Berat;El rostro oculto de la Belleza de Durrës;Los íconos sagrados de Onufri;¿Qué mar baña las costas de Albania?; ¿Cuál es su capital?; ¿Qué mar toca?; ¿Qué idioma se habla?; ¿Qué animal vive en sus montañas?;Adriático; Tirana; Adriático; Albanés; Oso pardo;Mediterráneo; Roma; Mediterráneo; Inglés; León;Negro; Madrid; Rojo; Alemán; Pingüino;Su bandera es roja con un águila negra de dos cabezas; Su capital es Tirana; Tiene un lago enorme llamado Ohrid; En la ciudad de Berat las casas tienen muchísimas ventanas; Hay un castillo famoso llamado Rozafa;No has podido salir del país porque te has refugiado en un búnker de la Guerra Fría y ahora es un Airbnb de 5 estrellas.; No has podido salir del país porque un águila bicéfala ha hecho un nido en el motor del avión.;" No has podido salir del país porque estás bajo la ""Besa"" (promesa de protección) de una familia y ahora tienes que quedarte a cenar durante un mes.";" No has podido salir del país porque confundiste un gesto de ""no"" con la cabeza por un ""sí"" y has aceptado casarte."; No has podido salir del país porque el nivel de Raki en tu sangre supera el límite legal para volar.
"Alemania	";La bestia navideña Krampus;El espíritu del agua Nixe;El doble fantasmagórico Doppelgänger;El espíritu de la tierra Erdgeist;El quimérico Wolpertinger de Baviera;La desaparecida Cámara de Ámbar;El oro maldito de los Nibelungos;La Lanza del Destino;Los ojos de la reina Nefertiti;La Corona de Carlomagno;¿Qué río muy largo cruza Alemania?; ¿Cuál es su capital?; ¿Qué río cruza Berlín?; ¿Qué idioma se habla?; ¿Qué bosque famoso tiene?;Rin; Berlín; Spree; Alemán; Selva Negra;Támesis; Roma; Támesis; Inglés; Amazonía;Danubio; Madrid; Danubio; Francés; Taiga;Allí se inventaron los coches modernos; Su capital es Berlín; En Múnich celebran una fiesta grande llamada Oktoberfest; Tiene un castillo que parece de cuento de hadas (Neuschwanstein); El río Rin pasa entre viñedos y pueblos con torres;No has podido salir del país porque la burocracia requiere un formulario para solicitar el formulario de salida.; No has podido salir del país porque el Oktoberfest empezó en marzo y nadie se atreve a decir que es pronto.; No has podido salir del país porque tu tren llegó un minuto antes de la hora y el caos resultante ha paralizado el país.; No has podido salir del país porque te has quedado atrapado en un tramo sin límite de velocidad de la Autobahn y ya has dado tres vueltas al mundo.; No has podido salir del país porque sigues esperando a que el semáforo en rojo para peatones se ponga en verde
"Andorra	";El dragón Marraco;El espectro de la Dama Blanca;El duende Follet;El secuestrador de niños Home del sac;Las Bruixes de los Pirineos;El Santuario secreto de Meritxell;El pacto de la Casa de la Vall;El enigma de los pareages;El fuego de las Fargas de los Pirineos;El código oculto del románico andorrano;¿Qué tipo de paisajes naturales tiene Andorra?; ¿Cuál es su capital?; ¿Entre qué montañas está?; ¿Qué idioma se habla?; ¿Qué deporte es famoso allí?;Montañas; Andorra la Vella; Pirineos; Catalán; Esquí;Playas; Roma; Andes; Español; Surf;Desiertos; Madrid; Alpes; Francés; Fútbol;Es un país muy pequeñito en las montañas; Su capital es Andorra la Vella; A la gente le encanta esquiar allí; Tiene una iglesia muy antigua llamada Sant Esteve; El río Valira cruza todo el país;No has podido salir del país porque una avalancha de esquiadores ha bloqueado la única carretera de salida.; No has podido salir del país porque te has gastado todo el dinero en artículos libres de impuestos y no te queda para el peaje.; No has podido salir del país porque las montañas han decidido jugar al escondite y no encuentras la frontera.; No has podido salir del país porque te has quedado dormido en una tumbona del balneario de Caldea.; No has podido salir del país porque te han nombrado portador oficial de una Falla y tienes que esperar a la fiesta.
"Angola	";El demonio de dos caras Kishi;La diosa del mar Kianda;La orisha guerrera Obá;El héroe cultural Chibinda Ilunga;El dios de la muerte Kalunga;La estatuilla del Pensador de Chokwe;Las máscaras rituales de Mwana Pwo;El cetro perdido del Reino del Congo;Las insignias sagradas del Reino de Ndongo;El mapa estelar de Tchitundo-Hulu;¿Qué animal muy grande vive en Angola?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué animal vive allí: elefante; oso polar o pingüino?;Elefante; Luanda; Portugués; Elefante; Atlántico;León; Roma; Español; Oso polar; Mediterráneo;Reno; Madrid; Inglés; Pingüino; Índico;Su capital es Luanda; Su dinero se llama como el río Kwanza; Allí bailan un baile alegre llamado semba; En la costa hay una playa llamada Bahía de los Tigres; Crecen árboles gigantes llamados baobabs;No has podido salir del país porque una clase de Kizomba se ha apoderado de la terminal de embarque.; No has podido salir del país porque un antílope sable gigante está bloqueando la pista de despegue y es demasiado majestuoso para molestarlo.; No has podido salir del país porque el atasco de Luanda ha sido declarado monumento nacional permanente.; No has podido salir del país porque una plataforma petrolífera ha atracado en el puerto equivocado; bloqueando la salida.
"Antigua y Barbuda	";El espíritu caribeño Jumbee;La bruja de fuego Soucouyant;La diablesa de pies de becerro;El protector del bosque Papa Bois;El espíritu guardián Moko Jumbie;El secreto del Astillero de Nelson;Los galeones fantasma del Caribe;El espíritu perdido de los indios arawak;Los jardines de coral de Antigua;Las arenas rosadas de Barbuda;¿Qué forma de terreno tienen estos países?; ¿Cuál es su capital?; ¿Qué tipo de territorio es?; ¿Qué idioma se habla?; ¿Qué mar baña sus costas?;Islas; Saint John’s; Islas; Inglés; Caribe;Montañas; Roma; Montañas; Español; Atlántico;Desiertos; Madrid; Desierto; Francés; Mediterráneo;Son dos islas llenas de playas bonitas; Su capital es St. John’s; Su bandera tiene un sol naciente muy colorido; Allí está el puerto histórico de Nelson; Celebran carnavales con música y disfraces;No has podido salir del país porque te propusiste visitar sus 365 playas y aún te quedan 250.; No has podido salir del país porque un partido de críquet de cinco días ha entrado en la prórroga.;" No has podido salir del país porque tu yate ha sido ""requisado"" para una regata y vas ganando.";" No has podido salir del país porque el ponche de ron local ha borrado la palabra ""aeropuerto"" de tu vocabulario."; No has podido salir del país porque te uniste a una banda de steelpan y ahora estáis de gira por las dos islas.
"Arabia Saudita	";El necrófago del desierto Ghul;El genio infernal Ifrit;El espíritu de fuego Jinn;El genio de las aguas Marid;El monstruo de medio cuerpo Nasnas;La Piedra Negra de la Kaaba;Las reliquias sagradas de La Meca y Medina;La ciudad perdida de Mada'in Saleh;El ídolo de oro de la aldea de Al-Faw;Las Joyas de la Dinastía Saudí;¿Qué desierto enorme está allí?; ¿Cuál es su capital?; ¿Qué desierto ocupa gran parte del país?; ¿Qué idioma se habla?; ¿Qué recurso natural hay mucho?;Rub al-Jali; Riad; Rub al-Jali; Árabe; Petróleo;Sahara; Roma; Sahara; Inglés; Oro;Gobi; Madrid; Gobi; Francés; Agua;Allí está un desierto enorme llamado Rub al-Jali; Su capital es Riad; En la ciudad de La Meca millones de personas van a rezar; Tiene una torre gigante llamada Kingdom Tower; Es famoso por su petróleo;No has podido salir del país porque una tormenta de arena ha enterrado el aeropuerto bajo una duna de lujo.; No has podido salir del país porque te han invitado a una boda real y el evento dura dos semanas.; No has podido salir del país porque los camellos se han declarado en huelga; exigiendo aire acondicionado en sus jorobas.; No has podido salir del país porque un halcón con pasaporte diplomático ha ocupado tu asiento.
"Argelia	";El necrófago del Sáhara Ghul;El genio del fuego Ifrit;El ser sobrenatural Jinn;El monstruo gigante H'awouahoua;El monstruo acuático Bagra;El laberinto de la Casbah de Argel;La ciudad romana fantasma de Timgad;Los secretos del arte rupestre de Tassili n'Ajjer;El anfiteatro perdido de Djémila;La tumba de la reina bereber;¿Qué desierto ocupa casi todo el país?; ¿Cuál es su capital?; ¿Qué desierto ocupa gran parte?; ¿Qué idioma se habla?; ¿Qué animal vive allí: dromedario;Sahara; Argel; Sahara; Árabe; Dromedario;Kalahari; Roma; Gobi; Inglés; Oso polar;Atacama; Madrid; Sonora; Francés; Pingüino;Su capital es Argel; Una parte grande del país es el desierto del Sahara; Allí hay ruinas romanas muy antiguas llamadas Timgad; Tiene montañas que se llaman Atlas; Las dunas del desierto cambian de color con el sol;No has podido salir del país porque te has perdido en la Casbah de Argel y ahora eres el líder de una banda de música Chaabi.; No has podido salir del país porque una caravana Tuareg ha bloqueado la carretera para una ceremonia del té de tres horas.; No has podido salir del país porque un zorro del desierto (fennec) se ha robado tu pasaporte y lo ha cambiado por dátiles.; No has podido salir del país porque la música Raï te ha hipnotizado y tus pies se niegan a abandonar la pista de baile.; No has podido salir del país porque te has quedado atrapado admirando la belleza de las ruinas romanas de Timgad.
"Argentina	";El monstruo del lago Nahuelito;El duende guardián Pombero;El ánima en pena Luz Mala;El espectro errante de La Llorona;El alma milagrosa del Gauchito Gil;El oro oculto de las misiones jesuíticas;La plata maldita del Cerro Rico de Potosí;El rastro perdido de los Incas;El tesoro del naufragio del Aconcagua;El alma legendaria del Tango;¿Qué cataratas muy grandes están en Argentina?; ¿Cuál es su capital?; ¿Qué montaña está en los Andes?; ¿Qué idioma se habla?; ¿Qué animal vive en la Patagonia?;Iguazú; Buenos Aires; Aconcagua; Español; Pingüino;Niágara; Roma; Everest; Inglés; León;Victoria; Madrid; Kilimanjaro; Francés; Canguro;Su capital es Buenos Aires; Bailan un baile llamado tango; Allí está un glaciar gigante llamado Perito Moreno; En la pampa viven los gauchos a caballo; Tienen cataratas enormes llamadas Iguazú;No has podido salir del país porque una clase de tango improvisada se ha convertido en una milonga que ya dura una semana.; No has podido salir del país porque sigues esperando a que termine el asado que empezaron a preparar cuando llegaste.;" No has podido salir del país porque la ""mano de Dios"" de Maradona ha desviado tu avión de vuelta a Buenos Aires."; No has podido salir del país porque te niegas a irte hasta probar todas las variedades de dulce de leche.; No has podido salir del país porque te has quedado atrapado en una manifestación por un partido de fútbol que se jugó hace 6 meses.
"Armenia	";El demonio Dev;El espíritu del mal Al;La criatura acuática Nhang;El espíritu guardián Shahapet;El sátiro Vushkaparik;La Lanza Sagrada de Echmiadzin;Los manuscritos prohibidos de Matenadaran;Los restos del Arca de Noé;El secreto de las cruces de piedra 'jachkares';La fortaleza solar de Garni;¿Qué monte famoso está junto a Armenia?; ¿Cuál es su capital?; ¿Qué lago grande tiene?; ¿Qué idioma se habla?; ¿Qué fruta es símbolo del país?;Ararat; Ereván; Seván; Armenio; Granada;Everest; Roma; Titicaca; Inglés; Naranja;Elbrus; Madrid; Baikal; Ruso; Manzana;Su capital es Ereván; Es uno de los países cristianos más antiguos; Allí está un monasterio dentro de la roca llamado Geghard; Tiene un lago enorme llamado Sevan; Su fruta más especial es el albaricoque;No has podido salir del país porque el Monte Ararat sigue cerrado mientras buscan el Arca de Noé.; No has podido salir del país porque un campeón de ajedrez te ha retado a una partida y es de mala educación negarse.; No has podido salir del país porque el pan lavash que has comprado es tan largo que ha bloqueado la pista de despegue.; No has podido salir del país porque te han nombrado invitado de honor en una boda y; por tradición
